               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.034025,            0.014352,           0.0010105,             0.95465,             0.76582,             0.84616,             0.47216,            0.029074,           0.0065817,          0.00096632,            0.003565,            0.003565,            0.003565
                  67,            0.031925,            0.015014,           0.0011005,             0.79185,             0.79167,             0.78531,             0.43257,            0.029858,           0.0063585,           0.0010054,            0.003466,            0.003466,            0.003466
                  68,            0.035871,            0.012931,          0.00093504,             0.78669,             0.73631,              0.8116,             0.47135,            0.029684,           0.0061945,          0.00091178,            0.003367,            0.003367,            0.003367
                  69,            0.035164,             0.01291,           0.0013619,             0.87124,             0.79167,             0.82496,              0.4798,            0.028074,           0.0062384,          0.00090921,            0.003268,            0.003268,            0.003268
                  70,             0.03098,            0.013153,           0.0013534,             0.89014,             0.79167,             0.83717,             0.46839,            0.026755,           0.0063366,          0.00084151,            0.003169,            0.003169,            0.003169
                  71,            0.033663,            0.014201,           0.0017198,             0.91005,             0.81667,             0.86273,             0.43621,            0.028509,           0.0061713,          0.00082939,             0.00307,             0.00307,             0.00307
                  72,            0.032302,            0.014059,           0.0010214,             0.89095,             0.79167,             0.82834,             0.44458,            0.027441,           0.0061771,          0.00080869,            0.002971,            0.002971,            0.002971
                  73,            0.029678,            0.012237,          0.00090544,             0.88473,             0.79167,             0.82612,             0.46073,            0.027638,           0.0061585,          0.00084728,            0.002872,            0.002872,            0.002872
                  74,            0.033259,            0.012987,           0.0010998,             0.93522,             0.86667,             0.89136,             0.44966,            0.028645,           0.0062834,          0.00083571,            0.002773,            0.002773,            0.002773
                  75,            0.030447,            0.013344,           0.0012265,             0.78945,             0.78501,             0.78913,             0.48358,            0.027871,           0.0061069,          0.00082658,            0.002674,            0.002674,            0.002674
                  76,            0.031885,            0.013723,           0.0012055,             0.83135,             0.83189,             0.82125,             0.45574,             0.02712,           0.0061005,          0.00079163,            0.002575,            0.002575,            0.002575
                  77,             0.02983,            0.013208,           0.0012572,             0.82907,             0.84167,              0.8219,             0.46115,            0.026565,            0.006024,          0.00080625,            0.002476,            0.002476,            0.002476
                  78,            0.031854,            0.012778,           0.0011222,             0.83301,             0.86667,             0.85198,             0.48322,            0.026527,           0.0060203,          0.00078338,            0.002377,            0.002377,            0.002377
                  79,             0.02945,            0.013916,           0.0010466,             0.83071,             0.86667,             0.86947,             0.52068,             0.02634,           0.0059334,          0.00073118,            0.002278,            0.002278,            0.002278
                  80,            0.030812,            0.012956,           0.0011037,             0.84509,             0.86667,              0.8654,             0.46689,            0.026367,           0.0060006,          0.00072169,            0.002179,            0.002179,            0.002179
                  81,            0.031308,            0.012402,          0.00098583,              0.8575,             0.86667,             0.87147,              0.4841,            0.026127,           0.0059427,          0.00071335,             0.00208,             0.00208,             0.00208
                  82,            0.031035,            0.011441,           0.0052305,             0.87713,             0.86156,             0.87777,             0.47906,            0.025556,           0.0058804,          0.00069759,            0.001981,            0.001981,            0.001981
                  83,            0.027575,            0.012421,           0.0011703,             0.88272,              0.8623,             0.88007,             0.47072,            0.026457,             0.00583,          0.00068318,            0.001882,            0.001882,            0.001882
                  84,            0.028534,            0.012194,           0.0019852,             0.88142,              0.8613,             0.88917,             0.51029,             0.02506,           0.0057975,          0.00069273,            0.001783,            0.001783,            0.001783
                  85,            0.028593,            0.013099,          0.00086578,             0.86131,             0.83646,             0.87316,             0.50857,            0.025531,           0.0058023,          0.00068475,            0.001684,            0.001684,            0.001684
                  86,            0.031874,            0.013436,           0.0012002,             0.85792,             0.84167,                0.87,              0.5066,            0.024418,           0.0058031,          0.00070088,            0.001585,            0.001585,            0.001585
                  87,            0.031121,            0.014284,           0.0010528,             0.87818,             0.83994,             0.83265,             0.48968,            0.025788,           0.0059022,          0.00069163,            0.001486,            0.001486,            0.001486
                  88,            0.029347,            0.011928,           0.0010906,             0.87447,             0.83758,             0.84045,             0.50237,             0.02507,           0.0059142,          0.00066465,            0.001387,            0.001387,            0.001387
                  89,            0.025809,            0.013458,          0.00085784,             0.84402,             0.81667,             0.83784,             0.49991,             0.02557,           0.0059458,          0.00065305,            0.001288,            0.001288,            0.001288
                  90,            0.027775,            0.012173,           0.0011774,             0.84664,             0.81667,             0.84046,             0.49907,            0.024991,           0.0059355,          0.00064403,            0.001189,            0.001189,            0.001189
                  91,            0.024826,            0.013704,          0.00098152,             0.84939,             0.81667,             0.84367,             0.47905,            0.025751,           0.0059807,          0.00062803,             0.00109,             0.00109,             0.00109
                  92,            0.028228,            0.010707,           0.0007635,             0.84949,             0.81667,             0.84047,             0.48216,            0.025259,           0.0059818,          0.00062946,            0.000991,            0.000991,            0.000991
                  93,            0.025783,            0.014104,          0.00072104,             0.84898,             0.81667,             0.84238,             0.47422,            0.025903,           0.0060295,          0.00061494,            0.000892,            0.000892,            0.000892
                  94,            0.027593,            0.012888,          0.00084327,             0.85046,             0.81667,             0.84457,             0.47293,            0.025461,            0.005982,          0.00061578,            0.000793,            0.000793,            0.000793
                  95,             0.02565,            0.012851,          0.00072621,             0.82389,             0.79167,             0.82419,             0.48181,            0.025093,           0.0059709,          0.00061076,            0.000694,            0.000694,            0.000694
                  96,            0.023708,             0.01201,           0.0006348,              0.8265,             0.79167,             0.82297,             0.48933,            0.024823,           0.0059436,          0.00061191,            0.000595,            0.000595,            0.000595
                  97,            0.024943,            0.013219,          0.00071414,             0.83103,             0.79167,             0.83417,             0.50431,            0.024834,           0.0059295,          0.00060793,            0.000496,            0.000496,            0.000496
                  98,            0.023922,            0.013429,          0.00084013,             0.85826,             0.81667,              0.8416,             0.49195,            0.024848,           0.0059309,          0.00060776,            0.000397,            0.000397,            0.000397
                  99,            0.026252,            0.012376,          0.00079333,             0.86065,             0.81667,             0.84136,             0.48757,            0.024853,           0.0059403,          0.00059729,            0.000298,            0.000298,            0.000298
